分类,ID,问题,答案,
,13,我是特病，这个钱怎么收的？,特病的报销比例及收费标准可前往医保科进行咨询,
,14,怎么这次没有开特病呢？,开据特病检查单需提前告知开单医生，如果需要，可将此次检查退费取消后重新开据检查单,
,15,怎么有重复的费用？,如果分开开具的同一种检查，可能会产生重复的费用，具体可以咨询放射科工作人员进行查询。,
,16,需要报账找哪个？,报账等问题需携带缴费单据前往医保收费处进行办理,
,17,我不想做这个检查了，可不可以退费？,可以，请到门诊负一楼放射科登记室人工窗口办理退费手续,
,18,我做检查不成功，能全部退费吗？,如果您做的是增强检查，已经使用的耗材和输注的药品无法退费，检查费用可以退费,
,19,我检查了一部分项目，有项目没能完成检查，退得到好多钱？,根据您检查项目完成情况进行退费，未完成的项目可以进行退费，具体退费金额请咨询放射科登记室工作人员,
,20,如果检查没有做，可以退费吗？,可以，请到门诊负一楼放射科登记室人工窗口办理退费手续,
,21,如果检查失败，是退哪些费用？,如果您做的是增强检查，已经使用的耗材和输注的药品无法退费，检查费用可以退费,
,22,在哪里退费？,门诊负一楼放射科登记室人工窗口办理退费手续,
,23,费用交完没有？,您可以在“重医一院”小程序中门诊缴费查看有无待缴费用，或收费窗口进行查询是否有待缴费用，,
,24,需要补交药费吗？,一般药费是随检查项目打包的，药费和检查项目一起缴费；如遇系统故障未开药费，则需要单独补交药费；另外，体检中心开出的增强检查需要单独补交药费。,
,25,补费退费在哪里处理？,在门诊负一楼的登记窗口办理后拿到收费窗口去办理。,
,26,为什么复查每次价格不一样？,每次检查的费用由检查项目和药费构成；如每次检查项目完全一致，费用不同可能是因为不同厂家对比剂价格不同。,
,27,为什么上次的费用和这次的费用不一样？,每次检查的费用由检查项目和药费构成；如每次检查项目完全一致，费用不同可能是因为不同厂家对比剂价格不同。,
,28,为什么有些人检查费便宜些，有些贵些呢？,可能是由于检查项目不同或对比剂不同。,
,29,为什么我在其它医院做同样的检查它们便宜些，我你们的贵些？,不同地区和医院的收费可能存在差异，我科所有检查收费严格按政府定价执行。,
,30,手机上怎么缴费？,门诊患者可以打开微信小程序“重医一院”，点击“门诊缴费”，选择就诊人，选择相应的检查，即可进行线上支付。,
,31,怎么缴费？,门诊患者可以打开微信小程序“重医一院”，点击“门诊缴费”，选择就诊人，选择相应的检查，即可进行线上支付；也可以携医保卡到门诊收费窗口或门诊自助缴费机缴费。,
,32,我需要片子，怎么交费？,门诊患者可到门诊负一楼放射科登记窗口办理；住院患者需要医生开具CT补打胶片/MR补打胶片的医嘱，然后到5号楼B栋1楼的3号放射科登记窗口办理。,这个问题后期会实现信息化
,33,补片多少钱,"实体胶片不再打包计入检查价格，仅在患者确有需求且知情
同意下方可收取费用，实体胶片按实际采购价格零差率销售",
,34,想清楚自己的费用明细，怎么办？,住院患者可通过“重医一院”微信小程序，点击“费用查询”查看自己的费用明细；,
七、关于检查项目，患者有哪些疑问和需求,1,项目做完了没得？,您可点击“重医一院”微信小程序，点击“检查预约”，查看有无未检查项目。,
,2,还有哪些项目没做？,您可点击“重医一院”微信小程序，点击“检查预约”，查看有有哪些未检查项目。,
,3,增强和平扫的区别？,"平扫（普通扫描）:不注射任何对比剂，直接通过CT、MRI等设备对检查部位进行常规扫描。 
主要用于观察解剖结构（如器官形态、密度/信号变化），但无法直接显示血流或血管细节。

增强扫描:在平扫基础上，通过静脉注射碘剂（CT）或钆剂（MRI）等对比剂，利用对比剂在血管或组织中的分布差异，显示病变的血流供应、血管形态或代谢活性，帮助区分病变性质（如良恶性）。",
,4,我能临时增加一个检查吗？,"检查项目必须和医嘱（电子申请单）一致，如需临时加一个项目，则需要医生重新开具医嘱。
门诊患者： 
1. 返回开单医生处，说明需求，由医生评估后开具新检查单。 
2. 缴费后到检查科室重新预约或插队（需与科室协调）。 
住院患者： 
返回住院部由管床医生重新开具新医嘱，患者携带检查申请单到我科重新预约或保持此次排队顺序（需与科室协调）。",
,5,我还想加一个项目，可不可以加？,"检查项目必须和医嘱（电子申请单）一致，如需临时加一个项目，则需要医生重新开具医嘱。
门诊患者： 
1. 返回开单医生处，说明需求，由医生评估后开具新检查单。 
2. 缴费后到检查科室重新预约或插队（需与科室协调）。 
住院患者： 
返回住院部由管床医生重新开具新医嘱，患者携带检查申请单到我科重新预约或保持此次排队顺序（需与科室协调）。",
,6,什么是低剂量的，什么是高清薄层的？,"低剂量CT通过降低辐射剂量来减少患者的辐射暴露，适用于需要频繁检查的情况，比如年度肺癌筛查。而高清薄层CT则是指高分辨率、薄层扫描的CT技术，能够提供更清晰的图像，用于详细观察小病灶或复杂结构。
具体选择需结合病情、辐射风险和医生建议，避免过度检查。",
,7,要做好久哦？,检查时长根据检查项目而定，如单个部位CT平扫大约2-3分钟，单个部位MR平扫大约10分钟。具体检查时长可咨询检查室医护人员。,
,8,为啥子他要喝水，我不喝水？,检查项目不同，检查要求就不同。,
,9,这个检查是干啥子的嘛？,CT检查通常用于诊断和评估多种疾病和病症，如骨折、肿瘤、脑部疾病、胸部问题等。MR（磁共振成像）检查使用强磁场和无害的无线电波来创建高分辨率的人体内部图像。在检测和诊断许多疾病时非常有用，尤其是涉及大脑、脊椎、肌肉、关节、内脏器官等区域的疾病。检查可协助医生诊断疾病，或观察疾病进展等,
,10,我做这个CT检查，有辐射吗？对家里的宝宝有影响吗？,CT检查是有辐射的，辐射暴露是瞬时的，检查结束后不会对周围人产生影响。,
,11,打了药多久能排出来？,"CT碘对比剂
代谢途径:几乎100%通过肾脏排泄（尿液）；少量通过胆汁、肠道排出（肾功能异常时比例增加）。 
排出时间： 
肾功能正常者：50%在注射后2-4小时排出，90%以上在24小时内排出，完全清除需48-72小时。 
肾功能不全者：可能延长至3-7天。
MRI钆造影剂 
代谢途径： 主要通过肾脏排泄（尿液），少量经肝脏（胆汁）。 
排出时间： 
肾功能正常者： 
80%在6小时内排出，24小时内基本排完。 
肾功能不全者：可能残留数天至数周（需警惕钆沉积风险）。",
,12,一年可以做几次CT检查？,无绝对限制，但需医生评估必要性。频繁随访时，可尝试用MRI或超声替代部分检查。,
,13,辐射剂量大不大？,CT检查的辐射剂量因检查类型、部位和设备技术而异，但总体来说剂量可控，且远低于可能直接造成伤害的阈值。,
,14,这个检查项目是检查啥子的？照不照得到**部位？,根据医生开的检查申请查训到您在我科的检查是*，其中包括***部位。,
,15,上腹部检查包括哪些地方？下腹部呢？,"上腹部（包含肝胆胰脾及所
涵盖区域）、下腹部（指双肾、肾上腺、双肾上缘至盆腔入
口以上所涵盖区域）",
,16,为什么头部检查没有包含垂体/眼眶/鼻咽部？,头部检查主要指的是大脑组织、颅骨、脑室等结构，而垂体、眼眶、鼻咽等属于部同的解剖区域需要特定的扫描参数或角度，和头部不在同一扫面范围。,
,17,胸部就是肺部吗？,胸部主要检查的项目是肺部，也包括胸骨、肩胛骨、锁骨、乳腺等,
,18,这个“X线计算机体层扫描”是什么检查？,"就是平时说的CT检查,X线计算机体层扫描是中文全称",
,19,是不是照了这些部位的，只进去了一次，照完没有哟？,医生开在一张单子上的检查部位都会一次性照完，如果有特殊情况检查医生会与您单独沟通，若无特别交代就是已经做完了,
,20,我这里东西没有取，那里有拉链有没有影响哟，照好没有？,检查部位不能有金属物品即可,
,21,我为什么要做这个检查？,医生会根据你的病情开具事宜的检查,
,22,这个检查看得到哪些部位？,根据医生开的检查申请查询到您在放射科的检查是*检查项目，包括**部位。,
,23,我要检查哪些项目？,根据医生开的检查申请查询到您在放射科的检查项目分别有**,
,24,我这个检查是检查什么的呀？,根据医生开的检查申请查询到您在放射科的检查是*检查项目，包括**部位。,
,25,做几个位置也？,根据医生开的检查申请查询到您在我科的检查是*个部位,
,26,我这个项目医生给我开错了，你们可不可以给我改一下？,您需要去找医生重新开具正确部位的检查申请，,
,27,我这个检查，检查得到肝（各种脏器）不？,根据医生开的检查申请查询到您在放射科的检查是*检查项目，包括**部位。,
,28,我这个检查对身体有没得危害哦？,CT检查和X片的辐射剂量因检查类型、部位和设备技术而异，但总体来说剂量可控，且远低于可能直接造成伤害的阈值。磁共振检查无辐射,
,29,做了这个检查，影响我怀孕不,磁共振不影像。CT或者X线检查需要等待1-3个月,
,30,怀孕可以做CT不哦,一般情况下不建议，但需结合临床需求，需权衡利弊,
,31,做了ct好久才可以备孕啊,建议男性等待3个月，女性1个月经周期，但具体需根据CT类型和检查部位进行调整,
,32,做了检查回家能接触小朋友不？,可以，照片和CT检查的辐射是瞬时的，不会对其他人产生伤害。磁共振检查无辐射,
,33,我明明有3个部位，为什么手机上面只有一个部位？,签到后会推送签到信息到手机，但是项目显示不全。我们会按照检查申请单上的检查项目进行扫描检查。,
,34,我手机上只显示一项检查，但是我不止照一个？,签到后会推送签到信息到手机，但是项目显示不全。我们会按照检查申请单上的检查项目进行扫描检查。,
,35,核磁检查需要憋气，年龄大了憋不住怎么办？,憋气时可以用手捏住鼻子，也可以家属陪同帮忙捏鼻子,
,36,我体内有金属，不知道什么材质了，医院也没办法查怎么办？,如果是做CT或者照片没有影像,
,37,手腕和手不是同一个部位吗？,不是同一个部位，检查重点不一样，手腕主要是检查腕关节，手主要检查手指和手掌。,
八、关于检查地点，患者有哪些疑问和需求,1,我怎么晓得我去哪里检查呀？,1、查看手机短信，缴费几分钟后有短信提醒检查地方和时间；2、可以去挂号的小程序里“我的预约里面查看”；3、可以在签到机上查询,
,2,在哪里可以查询检查地点和时间？,1、查看手机短信，缴费几分钟后有短信提醒检查地方和时间；2、可以去挂号的小程序里“我的预约里面查看”；3、可以在签到机上查询,
,3,检查在什么位置？,1.缴费后可以查看你的短消息或者重医一院微信公众号；2.可以到放射科登记窗口咨询,
,4,单子交给谁？,放射科检查申检单检查时再交到相应检查室的签到处,
,5,我约的是CT8，请问检查室怎么走？,CT8在2号楼负一楼，请按地面指示前往,
,6,为什么前几次都在负一楼做，这次要安排去其它楼层？,放射科的检查都是缴费后系统自动预约的最早时间，哪台设备预约时间短就自动约哪台。,
,7,为什么我上次在2号楼做的，这次又让我去3号楼，甚至虎头岩院区，短信也没有提示。,放射科的检查都是缴费后系统自动预约的最早时间，哪台设备预约时间短就自动约哪台，若本部预约时间过长，会自动预约到等待时间更短的分院去检查。,
,8,检查机器/检查效果是不是一样的？,是一样的，所有的检查都有统一的操作规范和检查要求，而且每周都会对补同机器检查的图像进行抽查，保证图像质量,
,9,这台机器是不是没得那台好？,是一样的，所有的检查都有统一的操作规范和检查要求，而且每周都会对补同机器检查的图像进行抽查，保证图像质量,
,10,国产的是不是没得进口的机器好哟？,每台设备都各有优势。我们都按照设备的特点进行最优的检查安排,
,11,怎么去这个检查地点？1号楼/2号楼/3号楼/5号楼是哪栋楼？怎么走？,您现在是在2号楼负一楼，请到一楼出门诊大厅后询问一下工作人员,
,12,分院在哪里？,经纬院区在渝中区石油路24号；大礼堂院区在渝中区上清寺街道人民路191号；金山院区在渝北区两江新区金渝大道50号,
,13,分院远不远？,经纬院区距本部5公里；大礼堂院区距本部7公里；金山院区距本部19公里,
,14,分院啷个去？坐什么车？,1.可以高德导航：经纬院区在渝中区石油路24号；大礼堂院区在渝中区上清寺街道人民路191号；金山院区在渝北区两江新区金渝大道50号；2.每个院区有班车，具体时间可以到登记窗口咨询；3.门诊大厅电子显示屏上有显示。,
,15,分院检查效果是不是一样的？,一样的，不管在哪个院区检查都是统一的检查规范和流程，出报告的医生也是一样的,
,16,在哪里哦？,先查看微信或者短信上收到的具体检查时间和地方，再根据指示路标到相应检查地点,
,17,你们这个找都找不到地方？,先找几号楼几层，再按地上或墙上标识找到相应检查室,
,18,到了找哪个诶？,到了检查室找签到处或者前台的老师安排具体检查时间,
,19,具体检查室在哪个位置？,"1.1号楼1楼有CT1、CT7和核磁6；2.2号楼负一楼有CT1、CT8、DR1.DR2.DR3和乳腺钼靶检查，2号楼1楼有CT4和核磁4；3.3号楼有CT2、核磁1.核磁2.核磁5和口腔照片室；4.5号楼1楼有CT3、核磁3,5号楼2楼有CT5",
,20,这个地方在那里，怎么走？,先找几号楼几层，再按地上或墙上标识找到相应检查室,
,21,在哪里等？,按照预约时间到相应检查室签到处或者前台有值导老师为您安排具体等候时间和地方,
,22,需要准备撒子不？,1.仔细查看短信或者微信，上面有注意事项提示；2.到相应检查室签到处咨询,
,23,我要在这里登记吗？还是直接去手机发的地方？,按照预约时间到手机信息收到的检查室。,
,24,为什么签到一个地方，做又是一个地方？为什么不在同一个地方？可不可以哪里签到就在哪里做？,目前签到机统一都在2号楼负一楼放射科大厅，其他楼栋签到处或者前台可以人工签到。,
九、表格未涉及的，请补充,1,我有两张单子想一起做怎么办？,如果是同一个医生开的同类型检查分开的两个单子请麻烦医生将医嘱开到一张单子上，如果是不同医生开的单子请到放射科登记室整合,
,2,我想改约检查时间？去哪里操作？怎么操作？,请关注重医一院公众号，选择首页里检查预约，自行改约相应时间，或者是找到放射科登记室人工处理,
,3,关于检查前喝水，喝冷水？还是热水？茶水可以吗？,只有增强CT检查前需要饮水，什么水都可以，冷热都可以，当然最好选用纯净水,
,4,检查完成后，能不能直接上去找医生看病？,检查完成后，系统自动上传图像到医生电脑上，出报告需要24小时左右，可以先询问医生图像情况是否需要后期报告出来后再复诊。,
,5,医生电脑上可以看到报告和片子不？好久看得到啊？,检查完成后系统自动上传图像到医生电脑上，医生电脑上可以看到报告和片子，报告出来的时间大概是24小时左右。,
,6,医生那里什么时候能看到图像？,检查完成后系统自动上传图像到医生电脑上，大概半个小时左右，但实际时间和网络快慢有关，请耐心等待。,
,7,我什么时候找医生看结果比较合适？,检查完成后，系统自动上传图像到医生电脑上，出报告需要24小时左右，可以先询问医生图像情况是否需要后期报告出来后再复诊。,
,8,哪些人可以优先做检查嘛？,退伍军人及年迈老人可以适当优先，但病人量大，也要根据检查室实际情况适当安排，感谢理解。,
,10,为什么做了CT又要做磁共振？,医生一般是根据病情需要开具相应检查，对检查项目有疑问的可以直接询问医生即可,
,11,CT和磁共振哪个好些？,CT和磁共振属于两个不同的检查，没有优劣之分，各有各的优势，主要还是看病情需要选择相应检查,
,12,检查申请单没带能不能做检查？什么都没带能不能做检查？我预约了的，你们电脑上应该查得到,申请单没带的情况可以做检查，但是申请单上如果有医生手写的内容电脑上就看不到哦。,
,13,要交什么单子吗？,缴费以后关注手机短信或者重医一院公众号查看预约信息，检查时携带检查申请单以便查对。,
,14,我预约起没得？我排起队没得？,缴费以后关注手机短信或者重医一院公众号查看预约信息,
,15,怎么表扬和投诉哦？,检查室门口诊间屏有服务反馈二维码可以进行相应表扬和投诉哦,
,16,我吃了**药的能不能做检查？,除了增强CT不能吃二甲双胍以外，其余放射科的检查对药物没有特别的要求。,
,17,我有心脏支架/心脏起搏器能不能做检查？,身体里面安置了东西请到放射科前台处进行相应评估,
,18,我上次做这个检查不舒服/过敏了，还能不能做这个检查？,如果有过敏史请告知放射科工作人员进行评估是否可以做检查。,
,19,请问厕所怎么走？,请就近询问工作人员,
,20,缴费窗口在哪里？,门诊大厅都有缴费的窗口及自助机，在重医一院公众号也可以手机自助缴费,
,21,老年人可不可以优先做检查？好多岁可以优先？,80岁以上老人可以适当优先，但病人量比较大，也要根据检查室实际情况，可以询问检查室工作人员，谢谢理解。,
,22,我需要拷图像，拷得到不，要准备些撒子东西啊？,图像拷贝在7号楼205室，需要携带病人及家属身份证原件及复印件及纸质检查报告复印件，自行准备新U盘即可。,
,23,需要人陪同不？,增强检查及行动不便患者最好是家属陪同,
,24,开的处方单药物我需要去哪里领取？,放射科开具的处方单药物不需要患者自行取用，在检查时我们会直接给你们使用。,
,25,能提前30分钟签到吗？,一般情况是检查当天到了检查时间段再签到，如果有紧急情况可以提前半个小时询问工作人员适当安排。,
,26,拿到结果了，还需要挂号吗？,挂号信息只保留三天，所以如果看完医生是三天后才取到报告就需要重新挂号看医生了。,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 ,,,,
 ,,,,
